opportunity_id,primary_savings_model_id,secondary_savings_model_ids,value_roles,business_relevance,affected_bill_types,required_bill_fields,optional_bill_fields,required_non_bill_inputs,incentive_value_method,project_cost_estimation_method,calculation_readiness,confidence,manual_review_required
"SOURCE_DSIRE:dsire_program_id:3831","electric_usage_reduction","hvac_electric_efficiency|motor_vfd_efficiency|controls_building_automation","bill_savings|upfront_cost_reduction","business_relevant","electric","annual_kwh|annual_electric_cost|average_cost_per_kwh","monthly_kwh|rate_schedule|delivery_charges|generation_charges|peak_kw|demand_charges|demand_charge_rate|annual_therms|time_of_use_periods","equipment_category","per_kwh_saved","benchmark_range","needs_bill","medium","true"
"SOURCE_DSIRE:dsire_program_id:5170","electric_usage_reduction","controls_building_automation|hvac_electric_efficiency","bill_savings|upfront_cost_reduction","public_nonprofit_only","electric","annual_kwh|annual_electric_cost|average_cost_per_kwh","monthly_kwh|rate_schedule|delivery_charges|generation_charges|annual_therms|peak_kw|demand_charges|time_of_use_periods","equipment_category","per_kwh_saved","benchmark_range","needs_bill","medium","true"
"SOURCE_DSIRE:dsire_program_id:5171","electric_usage_reduction","refrigeration_electric_efficiency|motor_vfd_efficiency","bill_savings|upfront_cost_reduction","public_nonprofit_only","electric","annual_kwh|annual_electric_cost|average_cost_per_kwh","monthly_kwh|rate_schedule|delivery_charges|generation_charges|peak_kw|demand_charges|demand_charge_rate","equipment_category","per_kwh_saved","benchmark_range","needs_bill","medium","true"
"SOURCE_DSIRE:dsire_program_id:3659","electric_usage_reduction","commercial_kitchen_equipment_efficiency|refrigeration_electric_efficiency|motor_vfd_efficiency","bill_savings|upfront_cost_reduction","business_relevant","electric","annual_kwh|annual_electric_cost|average_cost_per_kwh","monthly_kwh|rate_schedule|delivery_charges|generation_charges|annual_therms|average_cost_per_therm|annual_water_use|annual_water_cost|annual_sewer_cost|peak_kw|demand_charges|demand_charge_rate","equipment_category","per_unit","cost_per_unit","needs_equipment_details","medium","true"
"SOURCE_DSIRE:dsire_program_id:3654","electric_usage_reduction","ev_charging_site_load|refrigeration_electric_efficiency","bill_savings|upfront_cost_reduction","business_relevant","electric","annual_kwh|annual_electric_cost|average_cost_per_kwh","monthly_kwh|rate_schedule|delivery_charges|generation_charges|peak_kw|demand_charge_rate|time_of_use_periods|demand_charges","equipment_category","per_unit","cost_per_unit","needs_equipment_details","medium","true"
"SOURCE_DSIRE:dsire_program_id:5513","financing_cash_flow","hvac_electric_efficiency|solar_electric_offset|gas_usage_reduction","bill_savings|financing","agriculture_only","none|electric|gas","project_cost_estimate|interest_rate|financing_term_years","down_payment|contractor_quote_amount|monthly_kwh|peak_kw|demand_charges|rate_schedule|time_of_use_periods|generation_charges|delivery_charges|monthly_therms|gas_rate_schedule","equipment_category","financing","contractor_quote_required","needs_quote","medium","true"
"SOURCE_DSIRE:dsire_program_id:4971","hvac_electric_efficiency","project_cost_reduction_only","bill_savings|upfront_cost_reduction","business_relevant","electric|none","annual_kwh|annual_electric_cost|average_cost_per_kwh","monthly_kwh|peak_kw|demand_charges|rate_schedule|contractor_quote_amount|quote_date","equipment_category|square_footage","per_unit","cost_per_unit","needs_bill","medium","true"
"SOURCE_DSIRE:dsire_program_id:5512","financing_cash_flow","hvac_electric_efficiency|solar_electric_offset","bill_savings|financing","business_relevant","none|electric","project_cost_estimate|interest_rate|financing_term_years","down_payment|contractor_quote_amount|monthly_kwh|peak_kw|demand_charges|rate_schedule|time_of_use_periods|generation_charges|delivery_charges","equipment_category","financing","contractor_quote_required","needs_quote","medium","true"
"SOURCE_DSIRE:dsire_program_id:3801","financing_cash_flow","hvac_electric_efficiency|controls_building_automation|motor_vfd_efficiency","bill_savings|financing","public_nonprofit_only","none|electric","project_cost_estimate|interest_rate|financing_term_years","down_payment|contractor_quote_amount|monthly_kwh|peak_kw|demand_charges|rate_schedule|annual_therms|time_of_use_periods|demand_charge_rate","equipment_category","financing","contractor_quote_required","needs_quote","medium","true"
"SOURCE_DSIRE:dsire_program_id:4633","financing_cash_flow","gas_to_electric_replacement|commercial_kitchen_equipment_efficiency|refrigeration_electric_efficiency","bill_savings|financing","business_relevant","none|electric|gas","project_cost_estimate|interest_rate|financing_term_years","down_payment|contractor_quote_amount|monthly_therms|monthly_kwh|rate_schedule|gas_rate_schedule|peak_kw|annual_therms|average_cost_per_therm|annual_water_use|annual_water_cost|annual_sewer_cost|demand_charges","equipment_category","financing","contractor_quote_required","needs_quote","medium","true"
"SOURCE_DSIRE:dsire_program_id:4365","refrigeration_electric_efficiency","hvac_electric_efficiency|commercial_kitchen_equipment_efficiency|controls_building_automation","bill_savings|upfront_cost_reduction","business_relevant","electric","annual_kwh|annual_electric_cost|average_cost_per_kwh","monthly_kwh|peak_kw|demand_charges|rate_schedule|annual_therms|average_cost_per_therm|annual_water_use|annual_water_cost|annual_sewer_cost|time_of_use_periods","equipment_category|quantity","per_unit","cost_per_unit","needs_equipment_details","medium","true"
"SOURCE_DSIRE:dsire_program_id:1613","electric_usage_reduction","motor_vfd_efficiency","bill_savings|upfront_cost_reduction","business_relevant","electric","annual_kwh|annual_electric_cost|average_cost_per_kwh","monthly_kwh|rate_schedule|delivery_charges|generation_charges|peak_kw|demand_charge_rate","equipment_category","per_unit","cost_per_unit","needs_equipment_details","medium","true"
"SOURCE_DSIRE:dsire_program_id:4698","refrigeration_electric_efficiency","hvac_electric_efficiency|commercial_kitchen_equipment_efficiency|envelope_insulation_savings","bill_savings|upfront_cost_reduction","business_relevant","electric|gas","annual_kwh|annual_electric_cost|average_cost_per_kwh","monthly_kwh|peak_kw|demand_charges|rate_schedule|annual_therms|average_cost_per_therm|annual_water_use|annual_water_cost|annual_sewer_cost|annual_kwh|average_cost_per_kwh|square_footage","equipment_category|quantity","per_unit","cost_per_unit","needs_equipment_details","medium","true"
"SOURCE_DSIRE:dsire_program_id:5307","financing_cash_flow","solar_electric_offset|water_sewer_reduction|refrigeration_electric_efficiency","bill_savings|financing","mixed","none|electric|water_sewer","project_cost_estimate|interest_rate|financing_term_years","down_payment|contractor_quote_amount|time_of_use_periods|demand_charges|generation_charges|delivery_charges|monthly_water_use|water_unit|sewer_cost|meter_size|irrigation_meter_present|monthly_kwh|peak_kw","equipment_category","financing","contractor_quote_required","needs_quote","medium","true"
"SOURCE_DSIRE:dsire_program_id:630","solar_electric_offset","project_cost_reduction_only","bill_savings|upfront_cost_reduction","mixed","electric|none","annual_kwh|monthly_kwh|average_cost_per_kwh|rate_schedule","time_of_use_periods|demand_charges|generation_charges|delivery_charges|contractor_quote_amount|quote_date","roof_area|ownership_status","per_kw","cost_per_kw","needs_bill","medium","true"
"SOURCE_DSIRE:dsire_program_id:4387","solar_electric_offset","project_cost_reduction_only","bill_savings|upfront_cost_reduction","mixed","electric|none","annual_kwh|monthly_kwh|average_cost_per_kwh|rate_schedule","time_of_use_periods|demand_charges|generation_charges|delivery_charges|contractor_quote_amount|quote_date","roof_area|ownership_status","per_kw","cost_per_kw","needs_bill","medium","true"
